iter	RMSE
0	1.001650126
1	0.9982840226
2	0.9956972555
3	0.9933451714
4	0.9901489525
5	0.9883281113
6	0.9861278827
7	0.9837605935
8	0.9815885355
9	0.9790873947
10	0.9781712725
11	0.9760421628
12	0.9751777344
13	0.9739892834
14	0.9723376817
15	0.9709622578
16	0.9694969284
17	0.9680400471
18	0.9657691656
19	0.9650986569
20	0.9634040355
21	0.9608716533
22	0.9600257129
23	0.9584370861
24	0.9577730656
25	0.9563008565
26	0.9549461929
27	0.953208149
28	0.9517336521
29	0.9515573088
30	0.9506989975
31	0.949913473
32	0.9495248938
33	0.9480803022
34	0.9464079726
35	0.946162568
36	0.9458692299
37	0.9454406369
38	0.9438631952
39	0.9431386737
40	0.9428717759
41	0.9426512793
42	0.9424421046
43	0.9408519861
44	0.9403586274
45	0.9388676487
46	0.9385893496
47	0.9373159338
48	0.9359522603
49	0.9345935026
50	0.9343027519
51	0.9332470831
52	0.9319142472
53	0.9308856947
54	0.9306272804
55	0.9303758757
56	0.9297875793
57	0.9277814643
58	0.927594357
59	0.9272935274
60	0.9267701155
61	0.9260741832
62	0.9251169129
63	0.9248656359
64	0.9240621749
65	0.9237002447
66	0.9234959571
67	0.9226569033
68	0.9225108711
69	0.9216081441
70	0.9209940877
71	0.9207427961
72	0.9202994284
73	0.9196267177
74	0.9185968724
75	0.9183083252
76	0.9180258477
77	0.9173661072
78	0.917064713
79	0.9168976824
80	0.9164217538
81	0.9161909376
82	0.9159665293
83	0.9157011652
84	0.9149243612
85	0.9144361572
86	0.9142259898
87	0.9138179322
88	0.9135949556
89	0.9133318263
90	0.9131853966
91	0.912860002
92	0.9121432872
93	0.9117847289
94	0.9114577031
95	0.911264557
96	0.9111027009
97	0.91071107
98	0.9101181132
99	0.9097078923
100	0.909144254
101	0.9089246544
102	0.9085401083
103	0.9079111156
104	0.9077848958
105	0.907431299
106	0.9071709823
107	0.9064265011
108	0.9058787167
109	0.9054054933
110	0.9044752168
111	0.9040924084
112	0.9036253906
113	0.9030055205
114	0.9024910752
115	0.9022680351
116	0.9018960495
117	0.9016536584
118	0.9014777285
119	0.9013311645
120	0.9010400359
121	0.9004202803
122	0.900201869
123	0.8997182742
124	0.8992878635
125	0.898878266
126	0.8986356545
127	0.8978686801
128	0.8976764807
129	0.8969223714
130	0.8966308779
131	0.8963689466
132	0.8959991711
133	0.8954614998
134	0.8951199878
135	0.8945265073
136	0.8942227288
137	0.8940589311
138	0.8939006626
139	0.8937658667
140	0.8932271567
141	0.8929830466
142	0.8927703942
143	0.8925710641
144	0.892088557
145	0.8918655097
146	0.8916367006
147	0.8913998932
148	0.891270613
149	0.8909861904
150	0.8907750783
151	0.8904942696
152	0.8900169231
153	0.8892848575
154	0.8889418195
155	0.8886213229
156	0.8883969215
157	0.8881536956
158	0.8879805063
159	0.8877983316
160	0.8873633713
161	0.8870209658
162	0.8868588573
163	0.8866176579
164	0.8864605105
165	0.8860699963
166	0.8855642007
167	0.8851383857
168	0.8849445216
169	0.8846987472
170	0.8844707238
171	0.8843050266
172	0.8839260587
173	0.883654185
174	0.8832888784
175	0.882912576
176	0.882665359
177	0.8821671591
178	0.8819627223
179	0.8817945143
180	0.8816009188
181	0.8814009334
182	0.8811123545
183	0.8808774644
184	0.8807435616
185	0.8804996736
186	0.8800532727
187	0.8797652812
188	0.8796053407
189	0.8794141012
190	0.8790465924
191	0.878890369
192	0.8786061059
193	0.8782992533
194	0.8780797645
195	0.8779362908
196	0.877113361
197	0.876944683
198	0.8766958215
199	0.8764166253
200	0.8762868454
201	0.8760571954
202	0.8758640589
203	0.87563437
204	0.8755103241
205	0.8751601438
206	0.8750665558
207	0.8747719867
208	0.8745874144
209	0.874463393
210	0.8742721123
211	0.8740306964
212	0.8736939611
213	0.8733948576
214	0.8731239276
215	0.8729255437
216	0.8726519601
217	0.8725032066
218	0.8721660831
219	0.8717415353
220	0.8716569059
221	0.8714323
222	0.8710915495
223	0.8709256136
224	0.8707556939
225	0.8705788794
226	0.8703833259
227	0.870157321
228	0.8698965549
229	0.8697583198
230	0.8695965576
231	0.8694440994
232	0.8692360541
233	0.8690115496
234	0.8687982084
235	0.8686399016
236	0.8684031153
237	0.8681693882
238	0.8680069403
239	0.8678898202
240	0.8676525701
241	0.8674569682
242	0.8671630998
243	0.8669036507
244	0.8664594965
245	0.8661984375
246	0.8659908064
247	0.8657941485
248	0.8655897294
249	0.8654438255
250	0.8652106231
251	0.864951418
252	0.8646765579
253	0.86440585
254	0.8642850067
255	0.8640258594
256	0.8638519135
257	0.8637516827
258	0.863622089
259	0.8634247299
260	0.8632232361
261	0.8626829968
262	0.8625760693
263	0.8622850684
264	0.8621026477
265	0.8617972364
266	0.8615525138
267	0.8613667709
