iter	RMSE
0	0.9925286504
1	0.9844707059
2	0.9779520421
3	0.9744512745
4	0.9700957042
5	0.9659401298
6	0.9611209506
7	0.9558803309
8	0.9523361526
9	0.950986982
10	0.9489201098
11	0.945936343
12	0.9430743534
13	0.9412983221
14	0.9405340146
15	0.9379692682
16	0.9357461103
17	0.9343281251
18	0.9333137511
19	0.9327234439
20	0.9296079345
21	0.9270244394
22	0.9252867424
23	0.923973609
24	0.9218301909
25	0.9190112836
26	0.9180466942
27	0.917068315
28	0.91525528
29	0.9140075314
30	0.9127014416
31	0.9118146757
32	0.9099016581
33	0.9090211525
34	0.9080886932
35	0.906272092
36	0.9047636288
37	0.9037995765
38	0.9024380713
39	0.9020017761
40	0.901392146
41	0.8997156953
42	0.898893125
43	0.8980473424
44	0.897775326
45	0.8964111682
46	0.8944961466
47	0.8930400314
48	0.8927610982
49	0.8919537953
50	0.8912132076
51	0.8907023984
52	0.8900911089
53	0.8892519735
54	0.8876225087
55	0.8867856256
56	0.8862544006
57	0.8844538962
58	0.883184451
59	0.8827659691
60	0.8815783649
61	0.8807882902
62	0.8799706542
63	0.8787726989
64	0.8780121641
65	0.8775865652
66	0.8755481434
67	0.8748950275
68	0.8739135658
69	0.8734265564
70	0.8727327277
71	0.8723546048
72	0.8712444608
73	0.8705041157
74	0.8695639635
75	0.8683762724
76	0.8676452615
77	0.8669332656
78	0.8662173029
79	0.8658205048
80	0.8650842482
81	0.8647390575
82	0.8640563256
83	0.8636611765
84	0.8628825065
85	0.8623282942
86	0.8616136412
87	0.8612069707
88	0.860214551
89	0.8597190446
90	0.8585846634
91	0.85781858
92	0.8573227821
93	0.8564323923
94	0.8560999175
95	0.854893919
96	0.8538823847
97	0.8533726272
98	0.8530131164
99	0.8521514372
100	0.8513794138
101	0.8501439589
102	0.849769845
103	0.848968321
104	0.848247778
105	0.8477971401
106	0.8473965888
107	0.8465711482
108	0.8461987411
109	0.8455430838
110	0.8450402583
111	0.8441367839
112	0.8436133424
113	0.8433501002
114	0.842949797
115	0.8423623083
116	0.8418647861
117	0.8415038656
118	0.8410693129
119	0.8402473406
120	0.8394648597
121	0.8387433651
122	0.8383785314
123	0.837917644
124	0.8374408458
125	0.8370456411
126	0.8362254618
127	0.8358363743
128	0.8353094652
129	0.8345637243
130	0.8338335465
131	0.8334853597
132	0.8325675338
133	0.83194052
134	0.8313731979
135	0.8308892115
136	0.830477001
