iter	Accuracy	MultiClass
0	0.4917066347	1.07899343
1	0.5019484412	1.064385758
2	0.5107913669	1.05004012
3	0.5141886491	1.038475071
4	0.514138689	1.028209587
5	0.5178357314	1.019187975
6	0.5217326139	1.011567163
7	0.5242306155	1.004690823
8	0.526528777	0.9977424535
9	0.5287769784	0.9910337239
10	0.5339728217	0.9855537651
11	0.5347222222	0.9813456882
12	0.5356714628	0.9771547174
13	0.5394684253	0.9701194623
14	0.5400179856	0.9675216735
15	0.5450639488	0.9611931365
16	0.5452138289	0.9579509007
17	0.5483113509	0.9538843402
18	0.5528577138	0.9504084374
19	0.5542565947	0.9473206695
20	0.5581534772	0.9440578398
21	0.559452438	0.9418618679
22	0.5629996003	0.938431606
23	0.5657474021	0.9353329534
24	0.5685951239	0.932902219
25	0.5690447642	0.9308426548
26	0.5728417266	0.9282954586
27	0.5756394884	0.9248616205
28	0.5759892086	0.9223003316
29	0.5791366906	0.9191157134
30	0.5821842526	0.9166962616
31	0.5849320544	0.9128221466
32	0.5877298161	0.9099022191
33	0.5885791367	0.9071541691
34	0.5896782574	0.9043966967
35	0.5915267786	0.9024700561
36	0.59372502	0.9004341041
37	0.595323741	0.8977734894
38	0.5997202238	0.8945924079
39	0.6019184652	0.8921501007
40	0.6050659472	0.8896021662
41	0.6070143885	0.8870675442
42	0.6086630695	0.8850435593
43	0.6107114309	0.8810200697
44	0.6134592326	0.8781393842
45	0.6152078337	0.8763886812
46	0.6173061551	0.8738866491
47	0.6191546763	0.8718793045
48	0.6210531575	0.869443078
49	0.621952438	0.8681073165
50	0.6270983213	0.8648888896
51	0.6276978417	0.862951503
52	0.628097522	0.8609047352
53	0.6321942446	0.8574664597
54	0.6367406075	0.8539347935
55	0.6407873701	0.8512504318
56	0.6428856914	0.8491965859
57	0.6434352518	0.847192262
58	0.6448341327	0.8454951717
59	0.6478816946	0.8426499947
60	0.6505795364	0.8406741175
61	0.6525779376	0.8386873667
62	0.6538768985	0.8361977274
63	0.6558752998	0.8344051302
64	0.6588729017	0.8320729669
65	0.6610211831	0.8298790016
66	0.6629696243	0.8275430695
67	0.6646682654	0.8257061012
68	0.6661670663	0.82372487
