iter	Accuracy	MultiClass
0	0.4838629097	1.08096474
1	0.493804956	1.066607294
2	0.498401279	1.053343688
3	0.5042965627	1.042923999
4	0.5070943245	1.033543593
5	0.5087929656	1.026046007
6	0.5113409273	1.019544567
7	0.5139388489	1.013370777
8	0.5158872902	1.009335067
9	0.5178856914	1.00361453
10	0.5195843325	0.9990198392
11	0.5228317346	0.994091949
12	0.524980016	0.9894668455
13	0.526628697	0.9854970064
14	0.5278776978	0.9820740459
15	0.5303257394	0.9784918734
16	0.5320743405	0.97511673
17	0.5329736211	0.9727526921
18	0.5340727418	0.9698861404
19	0.5354216627	0.9674562531
20	0.5367206235	0.9649828521
21	0.5387689848	0.9622463818
22	0.539018785	0.9603749886
23	0.5427657874	0.9579259395
24	0.5432154277	0.9561606093
25	0.5461630695	0.9542865432
26	0.5473121503	0.9519111934
27	0.5494604317	0.9493157363
28	0.5502597922	0.9471690432
29	0.5516586731	0.9450197827
30	0.5525579536	0.9432085867
31	0.5538069544	0.9413767515
32	0.5549060751	0.9396930457
33	0.5554556355	0.9378222955
34	0.5581534772	0.9352446598
35	0.5601019185	0.9331595559
36	0.5613509193	0.9312740407
37	0.5626998401	0.9296863437
38	0.5645483613	0.9280522377
39	0.5647482014	0.9263486826
40	0.5683453237	0.9239478596
41	0.5686450839	0.9221853651
42	0.5707434053	0.920147612
43	0.5721422862	0.9187404005
44	0.5726918465	0.9164851546
45	0.5748900879	0.9134470102
46	0.576488809	0.9111684484
47	0.5786370903	0.9092244244
48	0.5798860911	0.9069308765
49	0.5826338929	0.9055614516
50	0.5838828937	0.9041372143
51	0.5849320544	0.9027523136
52	0.5857314149	0.900922154
53	0.5885291767	0.8997593056
54	0.589028777	0.8982575457
55	0.5910771383	0.8968599381
56	0.5925259792	0.8950752153
57	0.5940247802	0.8931233848
58	0.5958233413	0.8914673177
59	0.5971722622	0.8896933071
60	0.5982214229	0.8885945866
61	0.5987210232	0.8872591162
62	0.6008193445	0.8860249328
63	0.601568745	0.8843439788
64	0.6034172662	0.8831494709
65	0.6059652278	0.8815750781
66	0.6070143885	0.8801415686
67	0.6075639488	0.878257827
68	0.6102617906	0.8761120721
69	0.6113609113	0.8750289573
70	0.612460032	0.8739446725
71	0.6119604317	0.8726371942
72	0.6126099121	0.8715812671
73	0.6148581135	0.8696889904
74	0.6162070344	0.8681916895
75	0.617156275	0.8662790805
76	0.618804956	0.8650039719
77	0.6207533973	0.8639701999
78	0.6216027178	0.8621330181
79	0.6224020783	0.860293768
80	0.6243505196	0.8586494482
81	0.628047562	0.8565199159
82	0.6288469225	0.8545003838
83	0.6295463629	0.853199734
84	0.6318944844	0.8514138354
85	0.6325439648	0.8499422361
86	0.6346422862	0.8481881903
87	0.635941247	0.8466102759
88	0.6363409273	0.8452446221
89	0.637490008	0.8438124108
90	0.639088729	0.8425404289
91	0.6392885691	0.8411509145
92	0.6408373301	0.8394443596
93	0.6409872102	0.8384657198
94	0.6431354916	0.8370686118
95	0.6435351719	0.8359196659
96	0.6441346922	0.8343600414
97	0.6455835332	0.8328125576
98	0.6467825739	0.8313282941
99	0.6481314948	0.8303080915
100	0.6490807354	0.8288922075
101	0.6505295763	0.8273871206
102	0.6510291767	0.825207464
103	0.6526278977	0.8235296045
104	0.654676259	0.8217196272
105	0.65627498	0.8200661781
106	0.6571742606	0.8183905271
107	0.6595723421	0.8171116074
108	0.6605715428	0.8157057913
109	0.6620203837	0.8144031437
110	0.6633693046	0.8129959319
111	0.6639188649	0.8119613929
112	0.6658673062	0.8102177386
113	0.6666666667	0.8088831578
114	0.6677158273	0.80760489
115	0.6691646683	0.8062492421
116	0.6709632294	0.8047991146
117	0.6723121503	0.8031525477
118	0.6732114309	0.8017554951
119	0.6743105516	0.8003914448
120	0.6755595524	0.7993220698
121	0.6771083133	0.798237447
122	0.6784572342	0.7966030828
123	0.6804056755	0.7946269703
124	0.6826039169	0.7928424449
125	0.6832533973	0.7917735986
126	0.6847022382	0.7902033717
127	0.6851518785	0.789215372
128	0.6858513189	0.787631999
129	0.6868505196	0.7860502701
130	0.6882993605	0.7846769279
131	0.6897981615	0.7827971514
132	0.6901978417	0.7818746355
133	0.690597522	0.7806112813
134	0.6917965627	0.779463594
135	0.6928457234	0.7783557582
136	0.6945443645	0.7766449534
137	0.6957434053	0.7749340035
138	0.6963928857	0.7735715836
139	0.6974420464	0.7723436026
140	0.6995403677	0.7709642254
141	0.6992905675	0.769641924
142	0.6997402078	0.7686528887
143	0.7016886491	0.7669561258
144	0.7013888889	0.7657739357
145	0.7028377298	0.7645294263
146	0.7033872902	0.7636841146
147	0.7044364508	0.7621327767
148	0.7047861711	0.7614676558
149	0.7056354916	0.7603104839
150	0.7070843325	0.7589187228
151	0.707883693	0.757599584
152	0.7096822542	0.7562619636
153	0.7106814548	0.7553192925
154	0.7115307754	0.7544840745
155	0.7136290967	0.7525638137
156	0.7147781775	0.7510146402
157	0.7176258993	0.749309952
158	0.7182753797	0.7482003145
159	0.7197242206	0.7469656536
160	0.7206235012	0.7457148947
161	0.7220723421	0.743965913
162	0.7235211831	0.7429757149
163	0.7239208633	0.741826729
164	0.7238709033	0.7405690725
165	0.7245203837	0.7392608656
166	0.7258693046	0.7384087756
167	0.7276179057	0.7369680494
168	0.729716227	0.7349231161
169	0.7302657874	0.7335241338
170	0.7314648281	0.7326613572
171	0.7332633893	0.731156066
172	0.7349120703	0.7297855965
173	0.735911271	0.7286585072
174	0.737509992	0.7273996802
175	0.7384092726	0.7253288575
176	0.7398081535	0.7239709038
177	0.7403577138	0.7230314899
178	0.7408573141	0.7223533491
179	0.7431554756	0.7207901151
180	0.7448541167	0.7192491715
181	0.7471522782	0.7176379381
182	0.7482513989	0.7163983537
183	0.7490007994	0.7157134952
184	0.7505495604	0.7141600594
185	0.751548761	0.7131155479
186	0.7528976819	0.7120795985
187	0.7537969624	0.7110350218
188	0.7545463629	0.7100453145
189	0.7559952038	0.7087812258
190	0.7570943245	0.7071906438
191	0.7576938449	0.7059524476
192	0.7585931255	0.7052791891
193	0.7596922462	0.7035438386
194	0.7604416467	0.702090852
195	0.7622402078	0.700243022
196	0.7632893685	0.6989699974
197	0.7636890488	0.6979613658
198	0.7643884892	0.6967436544
199	0.7647881695	0.6956755648
200	0.7655375699	0.6947021975
201	0.7670863309	0.6934698479
202	0.7689848122	0.6922644089
203	0.770333733	0.6913032693
204	0.7709332534	0.6903522402
205	0.771932454	0.6889656114
206	0.7725319744	0.6881180987
207	0.773481215	0.6868948252
208	0.7743804956	0.6861432565
209	0.7747801759	0.6848246372
210	0.7754296563	0.6843326041
211	0.7758792966	0.6835685079
212	0.7777278177	0.6822329768
213	0.7785771383	0.6814078227
214	0.7794764189	0.6802391512
215	0.7794764189	0.6791716444
216	0.7808253397	0.6781271288
217	0.7810251799	0.6769231508
218	0.7817246203	0.6758099448
219	0.7831235012	0.6743557355
220	0.784322542	0.6730295042
221	0.7850719424	0.6718271099
222	0.7862709832	0.6708892505
223	0.7858213429	0.6693319328
224	0.7869204636	0.6680881382
225	0.7881694644	0.6666611129
226	0.789068745	0.6657669908
227	0.7902178257	0.665014285
228	0.7910171863	0.663958528
229	0.7915167866	0.6628673888
230	0.7923161471	0.6620795294
231	0.7929156675	0.660843756
232	0.7944644285	0.6594928667
233	0.7955635492	0.6585431014
234	0.79691247	0.6574696733
235	0.7982613909	0.6559157578
236	0.7991606715	0.6540862846
237	0.8003097522	0.6529661967
238	0.800059952	0.6520949631
239	0.8002597922	0.651248289
240	0.8010591527	0.6502855925
241	0.8021582734	0.6491118833
242	0.8026079137	0.647811232
243	0.8029576339	0.6470964459
244	0.8032573941	0.6460833996
245	0.8037569944	0.6449991483
246	0.8064548361	0.6436814567
247	0.8074040767	0.6428002403
248	0.8083533173	0.6416531869
249	0.8087529976	0.6403172071
250	0.8096023181	0.6388855909
251	0.8103017586	0.6379930038
252	0.8116007194	0.6367768039
253	0.8121003197	0.6358269004
254	0.8128497202	0.6348402887
255	0.8137989608	0.6338838232
256	0.8146482814	0.6328483163
257	0.8160471623	0.6316833723
258	0.8170963229	0.6309880909
259	0.8174460432	0.6297259963
260	0.8183453237	0.6288064325
261	0.8184952038	0.627774218
262	0.8188449241	0.6267001832
263	0.8199940048	0.6256572583
264	0.8212929656	0.624386764
265	0.8225919265	0.6232280862
266	0.823391287	0.6221461732
267	0.8255395683	0.6204978206
268	0.826538769	0.619490284
269	0.8270883293	0.6187284514
270	0.82808753	0.6173400774
271	0.8287869704	0.6163511703
272	0.8291366906	0.6157124484
273	0.829636291	0.6149889204
274	0.8298361311	0.6138519328
275	0.8308353317	0.6126143734
276	0.8319844125	0.6112264943
277	0.8319844125	0.6104240362
278	0.832783773	0.6093647681
279	0.8331834532	0.6087331532
280	0.8337330136	0.6078335361
281	0.8339328537	0.6074467768
282	0.8341326938	0.6064659254
