iter	Passed	Remaining
0	63	2528891
1	106	2122058
2	144	1926071
3	191	1911270
4	232	1860532
5	269	1794680
6	302	1726001
7	335	1677853
8	369	1640990
9	398	1595283
10	430	1563648
11	463	1544061
12	495	1525184
13	530	1515038
14	562	1499925
15	600	1501171
16	633	1490705
17	664	1476027
18	699	1472138
19	730	1460169
20	764	1454724
21	795	1444712
22	828	1440584
23	862	1437469
24	894	1430365
25	936	1439317
26	980	1451157
27	1024	1463062
28	1072	1478086
29	1119	1491985
30	1174	1514191
31	1206	1506343
32	1241	1503228
33	1275	1499169
34	1326	1514141
35	1424	1580875
36	1560	1685957
37	1655	1740582
38	1695	1737365
39	1730	1728743
40	1777	1732055
41	1823	1735206
42	1868	1736705
43	1915	1739591
44	1975	1753814
45	2023	1757916
46	2059	1751085
47	2094	1743506
48	2128	1735550
49	2163	1728356
50	2198	1722183
51	2232	1714771
52	2265	1707405
53	2297	1699301
54	2332	1693810
55	2364	1686704
56	2400	1682470
57	2435	1677486
58	2466	1669781
59	2499	1664011
60	2535	1660341
61	2573	1657763
62	2617	1659477
63	2663	1662023
64	2707	1663666
65	2749	1663897
66	2799	1668685
67	2831	1662897
68	2861	1655766
69	2894	1651171
70	2934	1650145
71	2968	1645994
72	2998	1639764
73	3033	1636902
74	3066	1632203
75	3098	1627946
76	3135	1625935
77	3169	1622438
78	3200	1617113
79	3238	1616066
80	3275	1614424
81	3312	1612368
82	3344	1608222
83	3377	1604740
84	3411	1601907
85	3443	1598298
86	3473	1593668
87	3505	1589756
88	3542	1588616
89	3576	1586189
90	3611	1583983
91	3644	1581002
92	3678	1578343
93	3708	1574258
94	3744	1572834
95	3778	1570699
96	3812	1568414
97	3849	1567432
98	3882	1564617
99	3915	1562185
100	3949	1560028
101	3981	1557498
102	4014	1554995
103	4049	1553404
104	4084	1551956
105	4118	1549845
106	4154	1548833
107	4185	1545871
108	4223	1545756
109	4259	1544716
110	4296	1544130
111	4330	1542206
112	4364	1540543
113	4395	1538033
114	4436	1538598
115	4469	1536704
116	4503	1535040
117	4539	1534180
118	4576	1533734
119	4608	1531438
120	4641	1529789
121	4683	1530990
122	4741	1537269
123	4793	1541555
124	4836	1542746
125	4872	1541913
126	4920	1544741
127	4963	1546253
128	4999	1545211
129	5028	1542248
130	5066	1541813
131	5107	1542573
132	5143	1541791
133	5181	1541681
134	5212	1539333
135	5247	1537993
136	5277	1535534
137	5309	1533807
138	5344	1532620
139	5376	1530782
140	5412	1530034
141	5448	1529457
142	5485	1528867
143	5515	1526665
144	5544	1524002
145	5577	1522458
146	5609	1520669
147	5639	1518418
148	5673	1517386
149	5707	1516259
150	5737	1514213
151	5774	1513825
152	5807	1512621
153	5842	1511724
154	5879	1511502
155	5912	1510022
156	5950	1510097
157	5989	1510265
158	6025	1509775
159	6062	1509556
160	6092	1507623
161	6126	1506668
162	6159	1505443
